system:index,Presence,layer,path,.geo
000000000000000012b9,0,,,"{""type"":""Point"",""coordinates"":[-122.38819302585101,45.78652228149395]}"
000000000000000012ba,0,,,"{""type"":""Point"",""coordinates"":[-122.360742799766,45.77943231081896]}"
000000000000000012bb,0,,,"{""type"":""Point"",""coordinates"":[-122.44716463728281,45.781559302021456]}"
000000000000000012bc,0,,,"{""type"":""Point"",""coordinates"":[-122.420731086238,45.80849673148533]}"
000000000000000012bd,0,,,"{""type"":""Point"",""coordinates"":[-122.5041073577353,45.837547774848524]}"
000000000000000012be,0,,,"{""type"":""Point"",""coordinates"":[-122.56307896916714,45.78368629322395]}"
000000000000000012bf,0,,,"{""type"":""Point"",""coordinates"":[-122.53867430910164,45.772342340143986]}"
000000000000000012c0,0,,,"{""type"":""Point"",""coordinates"":[-122.50309068269515,45.894191735530455]}"
000000000000000012c1,0,,,"{""type"":""Point"",""coordinates"":[-122.45631917174555,45.95289580089907]}"
000000000000000012c2,0,,,"{""type"":""Point"",""coordinates"":[-122.42683113647911,45.94935973376368]}"
000000000000000012c3,0,,,"{""type"":""Point"",""coordinates"":[-122.46851927222775,46.01294651478582]}"
000000000000000012c4,0,,,"{""type"":""Point"",""coordinates"":[-122.45631917174555,46.05035837262423]}"
000000000000000012c5,0,,,"{""type"":""Point"",""coordinates"":[-121.98860852135066,45.888528677192575]}"
000000000000000012c6,0,,,"{""type"":""Point"",""coordinates"":[-122.07706816804891,45.91117199234197]}"
000000000000000012c7,0,,,"{""type"":""Point"",""coordinates"":[-122.05978023326472,45.91895312368024]}"
000000000000000012c8,0,,,"{""type"":""Point"",""coordinates"":[-122.03538003230022,45.94299659656041]}"
000000000000000012c9,0,,,"{""type"":""Point"",""coordinates"":[-122.00182529687306,45.942287599492914]}"
000000000000000012ca,0,,,"{""type"":""Point"",""coordinates"":[-121.90421557481315,45.92461172291706]}"
000000000000000012cb,0,,,"{""type"":""Point"",""coordinates"":[-121.88693209912998,45.9825755775108]}"
000000000000000012cc,0,,,"{""type"":""Point"",""coordinates"":[-121.83304386289909,45.9733898293407]}"
000000000000000012cd,0,,,"{""type"":""Point"",""coordinates"":[-121.85541517288424,46.03412724478968]}"
000000000000000012ce,0,,,"{""type"":""Point"",""coordinates"":[-121.97437507078807,46.01436004981976]}"
000000000000000012cf,0,,,"{""type"":""Point"",""coordinates"":[-121.78678068946957,45.99102111490603]}"
000000000000000012d0,0,,,"{""type"":""Point"",""coordinates"":[-121.78929116336268,45.99374116654863]}"
000000000000000012d1,0,,,"{""type"":""Point"",""coordinates"":[-121.78850636157726,45.99639879077648]}"
000000000000000012d2,0,,,"{""type"":""Point"",""coordinates"":[-121.7849881308461,45.9992035653391]}"
000000000000000012d3,0,,,"{""type"":""Point"",""coordinates"":[-121.78644179778952,45.99957812982759]}"
000000000000000012d4,0,,,"{""type"":""Point"",""coordinates"":[-121.79011609705756,45.99885575545692]}"
000000000000000012d5,0,,,"{""type"":""Point"",""coordinates"":[-122.07722869568681,45.75731071049282]}"
000000000000000012d6,0,,,"{""type"":""Point"",""coordinates"":[-121.98973667391719,45.73195180280187]}"
000000000000000012d7,0,,,"{""type"":""Point"",""coordinates"":[-122.00072389891287,45.71976062052176]}"
000000000000000012d8,0,,,"{""type"":""Point"",""coordinates"":[-122.02537380953629,45.69647519482066]}"
000000000000000012d9,0,,,"{""type"":""Point"",""coordinates"":[-122.24296010454029,45.64532038753552]}"
000000000000000012da,0,,,"{""type"":""Point"",""coordinates"":[-122.17687176782718,45.63181377044464]}"
000000000000000012db,0,,,"{""type"":""Point"",""coordinates"":[-122.32633191693652,45.59340753307131]}"
000000000000000012dc,0,,,"{""type"":""Point"",""coordinates"":[-122.33650312643948,45.64958328814262]}"
000000000000000012dd,0,,,"{""type"":""Point"",""coordinates"":[-122.38632020340856,45.69008530301107]}"
000000000000000012de,0,,,"{""type"":""Point"",""coordinates"":[-122.33243196717764,45.67374715675124]}"
000000000000000012df,0,,,"{""type"":""Point"",""coordinates"":[-122.29481499069078,45.68653139947147]}"
000000000000000012e0,0,,,"{""type"":""Point"",""coordinates"":[-122.29379831565059,45.654559644918265]}"
000000000000000012e1,0,,,"{""type"":""Point"",""coordinates"":[-122.31108179133376,45.8723198448633]}"
000000000000000012e2,0,,,"{""type"":""Point"",""coordinates"":[-122.27244368070566,45.97911531509332]}"
000000000000000012e3,0,,,"{""type"":""Point"",""coordinates"":[-122.28464824028893,46.0010139603668]}"
000000000000000012e4,0,,,"{""type"":""Point"",""coordinates"":[-122.2277055198364,46.016549468437]}"
000000000000000012e5,0,,,"{""type"":""Point"",""coordinates"":[-122.19110521838974,46.017963003470946]}"
000000000000000012e6,0,,,"{""type"":""Point"",""coordinates"":[-122.09959554657094,46.023608225404615]}"
000000000000000012e7,0,,,"{""type"":""Point"",""coordinates"":[-121.98876904898857,45.82557508852003]}"
000000000000000012e8,0,,,"{""type"":""Point"",""coordinates"":[-121.99690244931004,45.841868643769324]}"
000000000000000012e9,0,,,"{""type"":""Point"",""coordinates"":[-121.92471406235583,45.86240726322149]}"
000000000000000012ea,0,,,"{""type"":""Point"",""coordinates"":[-121.92878076251657,45.96992510782217]}"
000000000000000012eb,0,,,"{""type"":""Point"",""coordinates"":[-122.5439182119405,46.4287710653228]}"
000000000000000012ec,0,,,"{""type"":""Point"",""coordinates"":[-122.47681320018717,46.421061279601396]}"
000000000000000012ed,0,,,"{""type"":""Point"",""coordinates"":[-122.4635964246648,46.465897540693796]}"
000000000000000012ee,0,,,"{""type"":""Point"",""coordinates"":[-122.4351250644385,46.49180491781433]}"
000000000000000012ef,0,,,"{""type"":""Point"",""coordinates"":[-122.34565320180111,46.47640318277572]}"
000000000000000012f0,0,,,"{""type"":""Point"",""coordinates"":[-122.33243196717767,46.46239714636684]}"
000000000000000012f1,0,,,"{""type"":""Point"",""coordinates"":[-122.41072486347404,46.37057087837323]}"
000000000000000012f2,0,,,"{""type"":""Point"",""coordinates"":[-122.535784811619,46.41405157274538]}"
000000000000000012f3,0,,,"{""type"":""Point"",""coordinates"":[-122.63034450855837,46.227264288717585]}"
000000000000000012f4,0,,,"{""type"":""Point"",""coordinates"":[-122.68524941982945,46.232891674247035]}"
000000000000000012f5,0,,,"{""type"":""Point"",""coordinates"":[-122.77065904140714,46.201936594734015]}"
000000000000000012f6,0,,,"{""type"":""Point"",""coordinates"":[-122.83573070308009,46.36495687014693]}"
000000000000000012f7,0,,,"{""type"":""Point"",""coordinates"":[-122.81234271805477,46.46239714636684]}"
000000000000000012f8,0,,,"{""type"":""Point"",""coordinates"":[-122.17178393352515,46.44979126768875]}"
000000000000000012f9,0,,,"{""type"":""Point"",""coordinates"":[-122.13213360695792,46.43998124537117]}"
000000000000000012fa,0,,,"{""type"":""Point"",""coordinates"":[-122.13823365719902,46.425966290760186]}"
000000000000000012fb,0,,,"{""type"":""Point"",""coordinates"":[-122.15450045784198,46.41545173047616]}"
000000000000000012fc,0,,,"{""type"":""Point"",""coordinates"":[-122.16365053320366,46.39792300423506]}"
000000000000000012fd,0,,,"{""type"":""Point"",""coordinates"":[-122.07926204576721,46.39862754220151]}"
000000000000000012fe,0,,,"{""type"":""Point"",""coordinates"":[-122.23279335413841,46.511402666944214]}"
000000000000000012ff,0,,,"{""type"":""Point"",""coordinates"":[-122.3151484914945,46.531691576737394]}"
00000000000000001300,0,,,"{""type"":""Point"",""coordinates"":[-122.28363156524874,46.50790227261726]}"
00000000000000001301,0,,,"{""type"":""Point"",""coordinates"":[-122.30193171597207,46.468702315256415]}"
00000000000000001302,0,,,"{""type"":""Point"",""coordinates"":[-122.21042204415329,46.48060365596806]}"
00000000000000001303,0,,,"{""type"":""Point"",""coordinates"":[-122.34361985172075,46.50370179942492]}"
00000000000000001304,0,,,"{""type"":""Point"",""coordinates"":[-121.9572476636418,46.49600539100667]}"
00000000000000001305,0,,,"{""type"":""Point"",""coordinates"":[-122.06909529536534,46.540783683785364]}"
00000000000000001306,0,,,"{""type"":""Point"",""coordinates"":[-122.05994076090263,46.51909907536246]}"
00000000000000001307,0,,,"{""type"":""Point"",""coordinates"":[-121.92166403723525,46.44488625652997]}"
00000000000000001308,0,,,"{""type"":""Point"",""coordinates"":[-121.89624270212958,46.43717647080855]}"
00000000000000001309,0,,,"{""type"":""Point"",""coordinates"":[-121.90437610245107,46.42316151619758]}"
0000000000000000130a,0,,,"{""type"":""Point"",""coordinates"":[-121.88200925156697,46.40493717019214]}"
0000000000000000130b,0,,,"{""type"":""Point"",""coordinates"":[-121.83828776573796,46.380389818892915]}"
0000000000000000130c,0,,,"{""type"":""Point"",""coordinates"":[-121.84133779085847,46.47220270958338]}"
0000000000000000130d,0,,,"{""type"":""Point"",""coordinates"":[-121.82608766525571,46.503006179660574]}"
0000000000000000130e,0,,,"{""type"":""Point"",""coordinates"":[-121.80168746429125,46.507902272617265]}"
0000000000000000130f,0,,,"{""type"":""Point"",""coordinates"":[-121.86065907572309,46.500905943064396]}"
00000000000000001310,0,,,"{""type"":""Point"",""coordinates"":[-121.87184250116512,46.527495562646095]}"
00000000000000001311,0,,,"{""type"":""Point"",""coordinates"":[-121.79762076413051,46.35583800849265]}"
00000000000000001312,0,,,"{""type"":""Point"",""coordinates"":[-122.02842383465688,46.402832474494915]}"
00000000000000001313,0,,,"{""type"":""Point"",""coordinates"":[-122.17687176782718,46.418256505038784]}"
00000000000000001314,0,,,"{""type"":""Point"",""coordinates"":[-122.116370684734,46.326202822891446]}"
00000000000000001315,0,,,"{""type"":""Point"",""coordinates"":[-122.12156553746124,46.333257120758]}"
00000000000000001316,0,,,"{""type"":""Point"",""coordinates"":[-122.13244128493062,46.33265068301473]}"
00000000000000001317,0,,,"{""type"":""Point"",""coordinates"":[-122.15423737087984,46.3200670998419]}"
00000000000000001318,0,,,"{""type"":""Point"",""coordinates"":[-122.15071022194658,46.320838524324145]}"
00000000000000001319,0,,,"{""type"":""Point"",""coordinates"":[-122.17597102941434,46.32461984201747]}"
0000000000000000131a,0,,,"{""type"":""Point"",""coordinates"":[-122.16677190394108,46.32637672783253]}"
0000000000000000131b,0,,,"{""type"":""Point"",""coordinates"":[-122.21571499710372,46.309869135732676]}"
0000000000000000131c,0,,,"{""type"":""Point"",""coordinates"":[-122.21324911422116,46.31023478201905]}"
0000000000000000131d,0,,,"{""type"":""Point"",""coordinates"":[-122.234095411646,46.30663182836787]}"
0000000000000000131e,0,,,"{""type"":""Point"",""coordinates"":[-122.2171909595524,46.316201059228575]}"
0000000000000000131f,0,,,"{""type"":""Point"",""coordinates"":[-122.16222362086661,46.24070847839373]}"
00000000000000001320,0,,,"{""type"":""Point"",""coordinates"":[-122.16237077120135,46.2366685328393]}"
00000000000000001321,0,,,"{""type"":""Point"",""coordinates"":[-122.1506210399255,46.239482225604036]}"
00000000000000001322,0,,,"{""type"":""Point"",""coordinates"":[-122.15497312255364,46.2422245727519]}"
00000000000000001323,0,,,"{""type"":""Point"",""coordinates"":[-122.15639557578972,46.23983895368831]}"
00000000000000001324,0,,,"{""type"":""Point"",""coordinates"":[-122.15128544598247,46.24464140552286]}"
00000000000000001326,0,,,"{""type"":""Point"",""coordinates"":[-122.1697773380511,46.257479157455734]}"
00000000000000001327,0,,,"{""type"":""Point"",""coordinates"":[-122.17318409125598,46.261938258509176]}"
00000000000000001328,0,,,"{""type"":""Point"",""coordinates"":[-122.18060403540886,46.259806808205646]}"
00000000000000001329,0,,,"{""type"":""Point"",""coordinates"":[-122.18273994481349,46.26083686054899]}"
0000000000000000132a,0,,,"{""type"":""Point"",""coordinates"":[-122.19456548080724,46.262045276934465]}"
0000000000000000132d,0,,,"{""type"":""Point"",""coordinates"":[-122.20116049126526,46.2628568333262]}"
0000000000000000132e,0,,,"{""type"":""Point"",""coordinates"":[-122.20367542425942,46.26354353488842]}"
0000000000000000132f,0,,,"{""type"":""Point"",""coordinates"":[-122.20696624083683,46.26191150390285]}"
00000000000000001330,0,,,"{""type"":""Point"",""coordinates"":[-122.17080739039446,46.24077536490954]}"
00000000000000001331,0,,,"{""type"":""Point"",""coordinates"":[-122.16980409265747,46.244708292038666]}"
00000000000000001332,0,,,"{""type"":""Point"",""coordinates"":[-122.16923332772258,46.25034905487128]}"
00000000000000001333,0,,,"{""type"":""Point"",""coordinates"":[-122.16169744694226,46.25454952806362]}"
00000000000000001334,0,,,"{""type"":""Point"",""coordinates"":[-122.15140584171091,46.21466286914055]}"
0000000000000000133c,0,,,"{""type"":""Point"",""coordinates"":[-122.1502018844265,46.164212599821866]}"
0000000000000000133d,0,,,"{""type"":""Point"",""coordinates"":[-122.15085291318027,46.160471414038014]}"
0000000000000000133e,0,,,"{""type"":""Point"",""coordinates"":[-122.14456112159385,46.16201426300251]}"
0000000000000000133f,0,,,"{""type"":""Point"",""coordinates"":[-122.14011539784359,46.156774819264704]}"
00000000000000001340,0,,,"{""type"":""Point"",""coordinates"":[-122.12842363488144,46.1595929711305]}"
00000000000000001341,0,,,"{""type"":""Point"",""coordinates"":[-122.13681120396299,46.1757884261566]}"
00000000000000001342,0,,,"{""type"":""Point"",""coordinates"":[-122.17214066160946,46.13828292719607]}"
00000000000000001343,0,,,"{""type"":""Point"",""coordinates"":[-122.24179182006425,46.20165567136765]}"
00000000000000001344,0,,,"{""type"":""Point"",""coordinates"":[-122.23942403740489,46.22245291868092]}"
00000000000000001345,0,,,"{""type"":""Point"",""coordinates"":[-122.23993237492498,46.243959163061696]}"
00000000000000001346,0,,,"{""type"":""Point"",""coordinates"":[-122.25022843925737,46.245015970011366]}"
00000000000000001347,0,,,"{""type"":""Point"",""coordinates"":[-122.24256770364758,46.2330388245818]}"
00000000000000001348,0,,,"{""type"":""Point"",""coordinates"":[-122.24871680400024,46.23017162260443]}"
00000000000000001349,0,,,"{""type"":""Point"",""coordinates"":[-122.21215217536198,46.23848784606911]}"
0000000000000000134a,0,,,"{""type"":""Point"",""coordinates"":[-122.19223337095627,46.23847446876595]}"
0000000000000000134b,0,,,"{""type"":""Point"",""coordinates"":[-122.20180260181695,46.24321449318577]}"
0000000000000000134c,0,,,"{""type"":""Point"",""coordinates"":[-122.20587376107876,46.236289509249765]}"
0000000000000000134d,0,,,"{""type"":""Point"",""coordinates"":[-122.20081268138308,46.23441668680732]}"
0000000000000000134e,0,,,"{""type"":""Point"",""coordinates"":[-122.19999666589031,46.23914333392398]}"
0000000000000000134f,0,,,"{""type"":""Point"",""coordinates"":[-122.19365136509126,46.25944562102031]}"
00000000000000001352,0,,,"{""type"":""Point"",""coordinates"":[-122.15384942908818,46.18826499090415]}"
00000000000000001353,0,,,"{""type"":""Point"",""coordinates"":[-122.14771816513971,46.179605416658354]}"
00000000000000001354,0,,,"{""type"":""Point"",""coordinates"":[-122.11520685935905,46.176020299411384]}"
00000000000000001355,0,,,"{""type"":""Point"",""coordinates"":[-122.12240384845931,46.17446853224479]}"
00000000000000001356,0,,,"{""type"":""Point"",""coordinates"":[-122.09854319872233,46.16307106995218]}"
00000000000000001357,0,,,"{""type"":""Point"",""coordinates"":[-122.13395292018774,46.13917474740676]}"
00000000000000001358,0,,,"{""type"":""Point"",""coordinates"":[-122.28927232808134,45.72661871794195]}"
00000000000000001359,0,,,"{""type"":""Point"",""coordinates"":[-122.28927232808134,45.729209455654]}"
0000000000000000135a,0,,,"{""type"":""Point"",""coordinates"":[-122.27682697704118,45.699601024659124]}"
0000000000000000135b,0,,,"{""type"":""Point"",""coordinates"":[-121.87546775032156,45.851460170135276]}"
0000000000000000135e,0,,,"{""type"":""Point"",""coordinates"":[-122.26228138940485,46.17490552414802]}"
0000000000000000135f,0,,,"{""type"":""Point"",""coordinates"":[-122.25509777760776,46.1800513267637]}"
00000000000000001360,0,,,"{""type"":""Point"",""coordinates"":[-122.27098555466118,46.17953853014256]}"
00000000000000001361,0,,,"{""type"":""Point"",""coordinates"":[-122.29834213962404,46.18972311694863]}"
00000000000000001362,0,,,"{""type"":""Point"",""coordinates"":[-122.29448501721284,46.24956425308587]}"
00000000000000001363,0,,,"{""type"":""Point"",""coordinates"":[-122.29729425087652,46.254616414579424]}"
00000000000000001364,0,,,"{""type"":""Point"",""coordinates"":[-122.35769723374646,46.24002623593255]}"
00000000000000001365,0,,,"{""type"":""Point"",""coordinates"":[-122.40084349553962,46.258063299693745]}"
00000000000000001366,0,,,"{""type"":""Point"",""coordinates"":[-122.38788088877723,46.27387973113031]}"
00000000000000001367,0,,,"{""type"":""Point"",""coordinates"":[-122.64080110052872,46.11763728931862]}"
00000000000000001368,0,,,"{""type"":""Point"",""coordinates"":[-122.62199261228527,46.14230057724523]}"
00000000000000001369,0,,,"{""type"":""Point"",""coordinates"":[-122.62961767508666,46.159909567305284]}"
0000000000000000136a,0,,,"{""type"":""Point"",""coordinates"":[-122.67384749843579,46.20320297943319]}"
0000000000000000136b,0,,,"{""type"":""Point"",""coordinates"":[-122.79687409650037,46.145118729111005]}"
0000000000000000136c,0,,,"{""type"":""Point"",""coordinates"":[-122.08603096116634,46.05417090402493]}"
0000000000000000136d,0,,,"{""type"":""Point"",""coordinates"":[-122.15847351688062,46.06246037288328]}"
0000000000000000136e,0,,,"{""type"":""Point"",""coordinates"":[-122.21592457485322,46.10600795377123]}"
0000000000000000136f,0,,,"{""type"":""Point"",""coordinates"":[-122.14322339127783,46.10512505176264]}"
00000000000000001370,0,,,"{""type"":""Point"",""coordinates"":[-122.2845545991668,46.1178111942597]}"
00000000000000001371,0,,,"{""type"":""Point"",""coordinates"":[-121.92970379643462,46.165015238011485]}"
00000000000000001372,0,,,"{""type"":""Point"",""coordinates"":[-121.82396067405321,46.150224399817205]}"
00000000000000001373,0,,,"{""type"":""Point"",""coordinates"":[-121.92767044635426,46.19951084376094]}"
00000000000000001374,0,,,"{""type"":""Point"",""coordinates"":[-121.8320940743747,45.792653545442434]}"
00000000000000001375,0,,,"{""type"":""Point"",""coordinates"":[-122.3324854763903,46.40889239282654]}"
00000000000000001376,0,,,"{""type"":""Point"",""coordinates"":[-122.41900095502926,46.43731470294121]}"
